Phone,Count
t,13
á,42
k,49
ə̀,6
n,64
d,11
p,37
gh,3
z,34
ə́,85
m,65
é,19
l,7
ɔ́,18
',57
j,9
w,67
ɨ́,20
à,17
ə̂,2
sh,21
í,48
ɔ̌,17
ŋ,53
ú,14
y,20
h,3
c,5
ɔ̀,27
ó,5
ɔ̂,2
ɛ̂,3
f,26
â,1
b,43
ɛ̀,33
s,19
ɛ́,4
ǔ,1
g,1
zh,14
ò,1
î,5
